Symbol,Company Name,Promoter Delta %,FII Delta %,DII Delta %,Mutual Fund Delta %,Pledge Delta %
AVG,AVG Logistics Limited,0.0,0.0,0.0,0.0,0.0
AVL,Aditya Vision Limited,0.0,0.0,0.0,0.0,0.0
AVONMORE,Avonmore Capital & Management Services Limited,0.0,0.0,0.0,0.0,0.0
AVROIND,AVRO INDIA LIMITED,0.0,0.0,0.0,0.0,0.0
AVTNPL,AVT Natural Products Limited,0.0,0.0,0.0,0.0,0.0
AWFIS,Awfis Space Solutions Limited,0.0,0.0,0.0,0.0,0.0
AWHCL,Antony Waste Handling Cell Limited,0.0,0.0,0.0,0.0,0.0
AWL,AWL Agri Business Limited,0.0,0.0,0.0,0.0,0.0
AXISBANK,Axis Bank Limited,0.0,0.0,0.0,0.0,0.0
AXISCADES,AXISCADES Technologies Limited,0.0,0.0,0.0,0.0,0.0
AXITA,Axita Cotton Limited,0.0,0.0,0.0,0.0,0.0
AYE,Aye Finance Limited,0.0,0.0,0.0,0.0,0.0
AYMSYNTEX,AYM Syntex Limited,0.0,0.0,0.0,0.0,0.0
AZAD,Azad Engineering Limited,0.0,0.0,0.0,0.0,0.0
BAFNAPH,Bafna Pharmaceuticals Limited,0.0,0.0,0.0,0.0,0.0
BAGFILMS,B.A.G Films and Media Limited,0.0,0.0,0.0,0.0,0.0
BAIDFIN,Baid Finserv Limited,0.0,0.0,0.0,0.0,0.0
BAJAJ-AUTO,Bajaj Auto Limited,0.0,0.0,0.0,0.0,0.0
BAJAJCON,Bajaj Consumer Care Limited,0.0,0.0,0.0,0.0,0.0
BAJAJELEC,Bajaj Electricals Limited,0.0,0.0,0.0,0.0,0.0
BAJAJFINSV,Bajaj Finserv Limited,0.0,0.0,0.0,0.0,0.0
BAJAJHCARE,Bajaj Healthcare Limited,0.0,0.0,0.0,0.0,0.0
BAJAJHFL,Bajaj Housing Finance Limited,0.0,0.0,0.0,0.0,0.0
BAJAJHIND,Bajaj Hindusthan Sugar Limited,0.0,0.0,0.0,0.0,0.0
BAJAJHLDNG,Bajaj Holdings & Investment Limited,0.0,0.0,0.0,0.0,0.0
BAJAJINDEF,Indef Manufacturing Limited,0.0,0.0,0.0,0.0,0.0
BAJAJST,Bajaj Steel Industries Limited,0.0,0.0,0.0,0.0,0.0
BAJEL,Bajel Projects Limited,0.0,0.0,0.0,0.0,0.0
